epochs,batch_size,learning_rate,betas,epsilon,weight_decay,warmup_steps,accuracy,f1,precision,recall,specificity,auroc,aupr,confusion_matrix,train_time_secs,eval_time_secs
1,8,5e-06,"(0.9, 0.999)",1e-08,0.01,0,0.7748427672955975,0.7911318553092181,0.7635135135135135,0.8208232445520581,0.725130890052356,0.772977067302207,0.8387092595359305,"[[277 105]
 [ 74 339]]",326,23
2,8,5e-06,"(0.9, 0.999)",1e-08,0.01,0,0.769811320754717,0.7869615832363213,0.757847533632287,0.8184019370460048,0.7172774869109948,0.7678397119784999,0.8352945466599005,"[[274 108]
 [ 75 338]]",653,23
3,8,5e-06,"(0.9, 0.999)",1e-08,0.01,0,0.740880503144654,0.7690582959641256,0.7160751565762005,0.8305084745762712,0.643979057591623,0.7372437660839473,0.8173169728089402,"[[246 136]
 [ 70 343]]",980,23
4,8,5e-06,"(0.9, 0.999)",1e-08,0.01,0,0.740880503144654,0.7711111111111111,0.7125256673511293,0.8401937046004843,0.6335078534031413,0.7368507790018128,0.8178691199380709,"[[242 140]
 [ 66 347]]",1309,23
5,8,5e-06,"(0.9, 0.999)",1e-08,0.01,0,0.7232704402515723,0.759825327510917,0.6918489065606361,0.8426150121065376,0.5942408376963351,0.7184279249014363,0.8081124624782409,"[[227 155]
 [ 65 348]]",1637,23
6,8,5e-06,"(0.9, 0.999)",1e-08,0.01,0,0.6855345911949685,0.7379454926624738,0.6506469500924215,0.8523002421307506,0.5052356020942408,0.6787679221124957,0.7898383759857999,"[[193 189]
 [ 61 352]]",1962,23
7,8,5e-06,"(0.9, 0.999)",1e-08,0.01,0,0.730817610062893,0.7648351648351648,0.7002012072434608,0.8426150121065376,0.6099476439790575,0.7262813280427977,0.8122886128196533,"[[233 149]
 [ 65 348]]",2291,23
8,8,5e-06,"(0.9, 0.999)",1e-08,0.01,0,0.6968553459119496,0.7427961579509071,0.6641221374045801,0.8426150121065376,0.5392670157068062,0.6909410139066718,0.7942490779002128,"[[206 176]
 [ 65 348]]",2617,23
9,8,5e-06,"(0.9, 0.999)",1e-08,0.01,0,0.6880503144654088,0.7394957983193278,0.6530612244897959,0.8523002421307506,0.5104712041884817,0.6813857231596161,0.791045513184487,"[[195 187]
 [ 61 352]]",2947,23
10,8,5e-06,"(0.9, 0.999)",1e-08,0.01,0,0.7056603773584905,0.7467532467532467,0.675146771037182,0.8353510895883777,0.5654450261780105,0.700398057883194,0.7980162259102641,"[[216 166]
 [ 68 345]]",3274,23
11,8,5e-06,"(0.9, 0.999)",1e-08,0.01,0,0.6729559748427673,0.7263157894736842,0.6424581005586593,0.8353510895883777,0.4973821989528796,0.6663666442706286,0.7816718906710027,"[[190 192]
 [ 68 345]]",3599,23
12,8,5e-06,"(0.9, 0.999)",1e-08,0.01,0,0.7232704402515723,0.7592997811816193,0.6926147704590818,0.8401937046004843,0.5968586387434555,0.71852617167197,0.8079136714920471,"[[228 154]
 [ 66 347]]",3924,23
13,8,5e-06,"(0.9, 0.999)",1e-08,0.01,0,0.7320754716981132,0.7646408839779005,0.7032520325203252,0.837772397094431,0.6178010471204188,0.7277867221074249,0.8126505795872523,"[[236 146]
 [ 67 346]]",4253,23
14,8,5e-06,"(0.9, 0.999)",1e-08,0.01,0,0.6515723270440251,0.7158974358974359,0.6209964412811388,0.8450363196125908,0.4424083769633508,0.6437223482879708,0.7732679527739088,"[[169 213]
 [ 64 349]]",4582,23
15,8,5e-06,"(0.9, 0.999)",1e-08,0.01,0,0.7220125786163522,0.7589967284623773,0.6904761904761905,0.8426150121065376,0.5916230366492147,0.717119024377876,0.8074261044360181,"[[226 156]
 [ 65 348]]",4906,23
