epochs,batch_size,learning_rate,betas,epsilon,weight_decay,warmup_steps,accuracy,f1,precision,recall,specificity,auroc,aupr,confusion_matrix,train_time_secs,eval_time_secs
1,8,0.000005,"(0.9,0.999)",1.000000e-0,0.01,0,0.774843,0.791132,0.763514,0.8208238,0.725131,0.772977,0.838709,[[277 105] [74 339]],326,23
2,8,0.000005,"(0.9,0.999)",1.000000e-0,0.01,0,0.769811,0.786962,0.757848,0.8184028,0.717277,0.767840,0.835295,[[274 108] [75 338]],653,23
3,8,0.000005,"(0.9,0.999)",1.000000e-0,0.01,0,0.740881,0.769058,0.716075,0.8305088,0.643979,0.737244,0.817317,[[246 136] [70 343]],980,23
4,8,0.000005,"(0.9,0.999)",1.000000e-0,0.01,0,0.740881,0.771111,0.712526,0.8401948,0.633508,0.736851,0.817869,[[242 140] [66 347]],1309,23
5,8,0.000005,"(0.9,0.999)",1.000000e-0,0.01,0,0.723270,0.759825,0.691849,0.8426158,0.594241,0.718428,0.808112,[[227 155] [65 348]],1637,23
6,8,0.000005,"(0.9,0.999)",1.000000e-0,0.01,0,0.685535,0.737945,0.650647,0.8523008,0.505236,0.678768,0.789838,[[193 189] [61 352]],1962,23
7,8,0.000005,"(0.9,0.999)",1.000000e-0,0.01,0,0.730818,0.764835,0.700201,0.8426158,0.609948,0.726281,0.812289,[[233 149] [65 348]],2291,23
8,8,0.000005,"(0.9,0.999)",1.000000e-0,0.01,0,0.696855,0.742796,0.664122,0.8426158,0.539267,0.690941,0.794249,[[206 176] [65 348]],2617,23
9,8,0.000005,"(0.9,0.999)",1.000000e-0,0.01,0,0.688050,0.739496,0.653061,0.8523008,0.510471,0.681386,0.791046,[[195 187] [61 352]],2947,23
10,8,0.000005,"(0.9,,0.999)",1.000000e-0,0.01,0,0.705660,0.746753,0.675147,0.8353518,0.565445,0.700398,0.798016,[[216 166] [68 345]],3274,23
11,8,0.000005,"(0.9,,0.999)",1.000000e-0,0.01,0,0.672956,0.726316,0.642458,0.8353518,0.497382,0.666367,0.781672,[[190 192] [68 345]],3599,23
12,8,0.000005,"(0.9,,0.999)",1.000000e-0,0.01,0,0.723270,0.759300,0.692615,0.8401948,0.596859,0.718526,0.807914,[[228 154] [66 347]],3924,23
13,8,0.000005,"(0.9,,0.999)",1.000000e-0,0.01,0,0.732075,0.764641,0.703252,0.8377728,0.617801,0.727787,0.812651,[[236 146] [67 346]],4253,23
14,8,0.000005,"(0.9,,0.999)",1.000000e-0,0.01,0,0.722013,0.758997,0.690476,0.8426158,0.442408,0.643722,0.773268,[[169 213] [64 349]],4582,23
15,8,0.000005,"(0.9,,0.999)",1.000000e-0,0.01,0,0.651572,0.715897,0.620996,0.8450368,0.591623,0.717119,0.807426,[[226 156] [65 348]],4906,23
