epochs,batch_size,learning_rate,betas,epsilon,weight_decay,warmup_steps,accuracy,f1,precision,recall,specificity,auroc,aupr,confusion_matrix,train_time_secs,eval_time_secs
1,8,0.0005,"(0.9, 0.999)",1e-08,0.1,0,0.5189873417721519,0.6833333333333332,0.5189873417721519,1.0,0.0,0.5,0.759493670886076,"[[  0 342]
 [  0 369]]",259,21
1,8,0.0005,"(0.9, 0.999)",1e-08,0.01,0,0.5189873417721519,0.6833333333333332,0.5189873417721519,1.0,0.0,0.5,0.759493670886076,"[[  0 342]
 [  0 369]]",259,21
1,8,5e-05,"(0.9, 0.999)",1e-08,0.1,0,0.9071729957805907,0.9062500000000001,0.9522388059701492,0.8644986449864499,0.9532163742690059,0.9088575096277278,0.9435304695008031,"[[326  16]
 [ 50 319]]",260,21
1,8,5e-05,"(0.9, 0.999)",1e-08,0.01,0,0.8987341772151899,0.9064935064935065,0.8703241895261845,0.94579945799458,0.847953216374269,0.8968763371844246,0.9221265213693838,"[[290  52]
 [ 20 349]]",260,21
1,8,5e-06,"(0.9, 0.999)",1e-08,0.1,0,0.919831223628692,0.9196050775740481,0.9588235294117647,0.8834688346883469,0.9590643274853801,0.9212665810868635,0.9513852819094089,"[[328  14]
 [ 43 326]]",260,21
1,8,5e-06,"(0.9, 0.999)",1e-08,0.01,0,0.9127988748241913,0.913649025069638,0.9398280802292264,0.8888888888888888,0.9385964912280702,0.9137426900584795,0.9431911146575104,"[[321  21]
 [ 41 328]]",260,21
1,8,5e-07,"(0.9, 0.999)",1e-08,0.1,0,0.5189873417721519,0.6833333333333332,0.5189873417721519,1.0,0.0,0.5,0.759493670886076,"[[  0 342]
 [  0 369]]",260,21
1,8,5e-07,"(0.9, 0.999)",1e-08,0.01,0,0.5189873417721519,0.6833333333333332,0.5189873417721519,1.0,0.0,0.5,0.759493670886076,"[[  0 342]
 [  0 369]]",261,21
4,8,0.0005,"(0.9, 0.999)",1e-08,0.1,0,0.4810126582278481,0.0,0.0,0.0,1.0,0.5,0.759493670886076,"[[342   0]
 [369   0]]",1042,21
4,8,0.0005,"(0.9, 0.999)",1e-08,0.01,0,0.4810126582278481,0.0,0.0,0.0,1.0,0.5,0.759493670886076,"[[342   0]
 [369   0]]",1042,21
4,8,5e-05,"(0.9, 0.999)",1e-08,0.1,0,0.8185654008438819,0.8443908323281062,0.7608695652173914,0.948509485094851,0.6783625730994152,0.8134360290971331,0.8680509878846725,"[[232 110]
 [ 19 350]]",1045,21
4,8,5e-05,"(0.9, 0.999)",1e-08,0.01,0,0.680731364275668,0.7632950990615224,0.6203389830508474,0.991869918699187,0.34502923976608185,0.6684495792326344,0.8082141555163674,"[[118 224]
 [  3 366]]",1045,21
4,8,5e-06,"(0.9, 0.999)",1e-08,0.1,0,0.9268635724331927,0.9299191374663072,0.9249329758713136,0.9349593495934959,0.9181286549707602,0.9265440022821282,0.9468237998632064,"[[314  28]
 [ 24 345]]",1046,21
4,8,5e-06,"(0.9, 0.999)",1e-08,0.01,0,0.9367088607594937,0.9392712550607287,0.9354838709677419,0.943089430894309,0.9298245614035088,0.9364569961489089,0.954054583420477,"[[318  24]
 [ 21 348]]",1045,21
4,8,5e-07,"(0.9, 0.999)",1e-08,0.1,0,0.919831223628692,0.9211618257261411,0.940677966101695,0.9024390243902439,0.9385964912280702,0.920517757809157,0.9468749509421721,"[[321  21]
 [ 36 333]]",1046,21
4,8,5e-07,"(0.9, 0.999)",1e-08,0.01,0,0.9156118143459916,0.9168975069252077,0.9376770538243626,0.8970189701897019,0.935672514619883,0.9163457424047924,0.9440709374641348,"[[320  22]
 [ 38 331]]",1046,21
15,8,0.0005,"(0.9, 0.999)",1e-08,0.1,0,0.4810126582278481,0.0,0.0,0.0,1.0,0.5,0.759493670886076,"[[342   0]
 [369   0]]",3911,21
15,8,0.0005,"(0.9, 0.999)",1e-08,0.01,0,0.4810126582278481,0.0,0.0,0.0,1.0,0.5,0.759493670886076,"[[342   0]
 [369   0]]",3913,21
15,8,5e-05,"(0.9, 0.999)",1e-08,0.1,0,0.8171589310829818,0.8065476190476191,0.8943894389438944,0.7344173441734417,0.9064327485380117,0.8204250463557268,0.883320409842775,"[[310  32]
 [ 98 271]]",3919,21
15,8,5e-05,"(0.9, 0.999)",1e-08,0.01,0,0.4810126582278481,0.0,0.0,0.0,1.0,0.5,0.759493670886076,"[[342   0]
 [369   0]]",3915,21
15,8,5e-06,"(0.9, 0.999)",1e-08,0.1,0,0.9353023909985936,0.9380053908355794,0.9329758713136729,0.943089430894309,0.9269005847953217,0.9349950078448154,0.9528005835934423,"[[317  25]
 [ 21 348]]",3928,21
15,8,5e-06,"(0.9, 0.999)",1e-08,0.01,0,0.939521800281294,0.9416553595658074,0.9429347826086957,0.940379403794038,0.9385964912280702,0.939487947511054,0.9571282605712684,"[[321  21]
 [ 22 347]]",3929,21
15,8,5e-07,"(0.9, 0.999)",1e-08,0.1,0,0.9184247538677919,0.9220430107526881,0.9146666666666666,0.9295392953929539,0.9064327485380117,0.9179860219654827,0.9403870879215122,"[[310  32]
 [ 26 343]]",3928,21
15,8,5e-07,"(0.9, 0.999)",1e-08,0.01,0,0.9184247538677919,0.9220430107526881,0.9146666666666666,0.9295392953929539,0.9064327485380117,0.9179860219654827,0.9403870879215122,"[[310  32]
 [ 26 343]]",3929,21
